BGP_ID,band_number,recap,site,site_code,lat,long,month,day,year,collected_by,feather,blood,sequenced,sex,age,weight,wing_chord,tarsus,tarsus_hair_full,tarsus_hair_jointdown,bill_color,tail_length,nare_length,bristle_length,bristle_per,beak_depth,beak_width,nare_end_length,culmen_end_length
23N00428,1361-46530,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,N,Y,F,2,22.5,94,19.1,15.77,4.57,6,49,1.75,1.95,65,6.8,6.47,8.39,11.69
23N00429,1361-46531,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,F,2,24.1,93,19.1,15.17,4.03,4,63,1.46,3,100,6.96,6.78,8.56,11.55
23N00430,1361-46532,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,F,2,25.5,94,18.4,15.28,3.61,4,54,1.75,2.34,90,6.5,5.72,7.94,10.87
23N00431,1361-46533,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,M,3,NA,101,21,17.89,6.93,6,66,1.84,2.61,80,6.89,6.84,8.98,11.07
23N00432,1361-46534,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,UNK,4,24.2,99,21.4,14.56,4.01,3,63,1.54,2.94,100,6.67,5.95,7.04,10.17
23N00433,1361-46535,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,F,3,27.6,95,20.5,16.73,4.55,6,51,2.52,2.89,100,6.82,6.35,8.38,12.2
23N00434,1361-46536,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,UNK,4,24.5,101,21.3,13.92,4.11,3,NA,1.64,3.36,100,7.02,5.93,8.07,9.49
NA,1361-46537,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,N,N,M,2,29,101,20.2,17.74,6.22,4,54,2.14,2.49,80,7.09,6.59,8.4,11.58
23N00436,1361-46539,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,N,Y,M,3,NA,101,19.9,16.34,5.93,NA,61,1.83,3.48,80,6.8,5.99,10.13,11.24
23N00437,1361-46540,N,WhiteMtn,WMTN,NA,NA,7,19,2020,Tim Brown,Y,Y,Y,UNK,4,26.5,101,19.9,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,1361-46541,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,N,UNK,4,26.5,103,19.96,11.71,4.1,3,62,1.55,2.22,100,5.82,5.78,7.56,10.51
23N00439,1361-46542,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,M,2,25.2,102,18.9,15.87,5.27,6,66,1.53,2.6,100,6.69,5.89,8.54,11.45
23N00440,1361-46543,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,26,97,20.2,15.59,5.11,4,54,2.55,3.25,100,6.55,6.23,8.62,11.46
23N00441,1361-46544,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,25.1,97,20.6,15.47,4.55,3,52,2.51,2.98,90,6.44,6.3,7.75,11.28
23N00442,1361-46545,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,22.6,92,19.2,15.23,4.61,4,57,1.43,2.04,80,6.03,6.66,8.21,11.92
23N00443,1361-46546,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,25.3,97,20.4,15.2,4.72,6,56,1.48,3.05,100,6.17,6.37,8.62,10.67
23N00444,1361-46547,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,M,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
23N00445,1361-46548,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,M,2,24.6,99,19.7,17.02,5.07,6,61,1.67,1.99,60,7.12,6.42,8.52,12.15
23N00446,1361-46549,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,N,Y,M,3,24.6,101,19.4,15.79,5.01,6,67,1.72,2.05,50,6.11,5.74,8.58,11.09
23N00447,1361-46550,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y ,Y,Y,UNK,4,24.4,100,19.2,11.8,4.09,3,58,1.53,2.85,100,5.63,5.03,7.38,10.02
23N00448,1361-46551,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y ,Y,Y,F,2,NA,NA,NA,NA,NA,6,54,1.44,2.91,100,NA,NA,NA,NA
23N00449,1361-46552,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,M,2,25.2,101,19.3,15.99,4.89,6,62,2.02,2.15,90,6.72,6.22,9.07,11.59
23N00450,1361-46553,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,UNK,4,25,100,19.84,12.1,4.03,2,57,1.53,2.02,95,5.72,5.7,6.91,10.28
23N00451,1361-46554,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,UNK,4,23.7,100,19.98,13.24,4.21,4,60,1.87,2.29,100,5.8,5.64,6.88,10.26
23N00452,1361-46555,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,UNK,4,24.4,99,20.3,13.36,4.07,3,57,1.64,2,95,6.4,5.72,6.85,9.93
23N00453,1361-46556,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,NA,95,20.3,16.64,4.68,6,55,2.1,1.97,50,7.06,6.88,8.96,11.81
23N00454,1361-46557,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,N,Y,F,2,NA,NA,NA,15.04,4.31,NA,56,2.1,1.95,90,6.08,6.45,8.08,11.27
NA,1361-46558,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,N,UNK,4,23.6,100,20.3,13.11,4.01,2,59,1.58,2.06,95,5.61,5,7.63,10.82
23N00456,1361-46559,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,UNK,4,23.9,102,21.2,10.89,3.96,3,60,1.8,2.38,100,5.69,5.13,7.85,10.14
23N00457,1361-46560,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,N,Y,F,2,26.1,97,19.9,NA,NA,4,57,1.99,2.01,50,6.16,6.66,8.95,11.62
23N00458,1361-46561,N,WhiteMtn,WMTN,NA,NA,7,20,2020,Tim Brown,Y,Y,Y,F,2,26.3,98,20.2,16.81,4.8,4,53,2.5,2.17,85,6.53,6.27,8.89,12.02
23N00460,1361-46563,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,UNK,4,25.6,103,20.4,15.67,6.33,3,67,1.91,3.22,90,NA,NA,NA,NA
23N00461,1361-46564,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,3,24.2,99,19.4,16.41,5.22,6,51,2.89,3.01,100,6.47,6.44,8.64,11.97
23N00462,1361-46565,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,3,28.7,100,20.1,16.8,5.28,4,54,2.49,2.85,90,7.31,6.83,8.76,11.65
23N00463,1361-46566,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,M,3,25.2,104,21.8,15.67,6.19,4,65,2.69,2.79,95,7.01,5.98,8.2,10.74
23N00464,1361-46567,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,UNK,4,25.8,99,19.7,17.48,4.28,3,57,2.51,2.9,100,NA,NA,NA,NA
23N00465,1361-46568,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,3,24.3,97,19.1,18.56,4.66,4,53,2.1,1.87,75,6.16,5.92,9.02,12.3
23N00466,1361-46569,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,M,2,24.9,101,20,18.02,7.19,4,55,2.47,2.39,90,7,5.87,8.82,11.45
23N00467,1361-46570,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,UNK,4,22.2,99,18.1,17.41,5.04,3,56,1.89,1.7,90,NA,NA,NA,NA
23N00468,1361-46571,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,2,23.2,99,19.7,16.67,6.68,4,51,2.09,1.84,60,6.39,6.13,8.61,12.54
23N00469,1361-46572,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,2,25.3,97,19.9,16.77,6.2,6,55,2.3,1.81,50,6.62,6.41,8.33,11.56
23N00470,1361-46573,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,3,NA,95,19.6,16.3,5.81,4,52,2.84,2.19,80,6.64,6.03,8.08,11.14
23N00471,1361-46574,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,F,2,25,100,19.9,16.44,6.08,4,51,2.93,2.74,80,7.03,6.6,8.87,11.7
23N00472,1361-46575,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,M,3,24.9,101,20,17.8,4.73,6,56,2.5,2.01,60,7.49,6.03,9.29,12.87
23N00473,1361-46576,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,Y,Y,Y,M,2,24.7,102,20.4,17.57,6.55,6,55,2.45,2.06,80,7.13,7.07,8.87,11.18
23N00557,NA,N,Piutepass,PIPA,NA,NA,7,23,2020,Tim Brown,N,Y,Y,M,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
23N00474,1361-46577,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,3,25.8,105,20.3,16.55,4.97,6,65,1.55,2.98,90,6.51,6.3,9.44,11.39
23N00475,1361-46578,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,25.2,97,19.4,14.86,5.18,3,64,1.81,2.8,90,NA,NA,NA,NA
23N00476,1361-46579,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,F,2,24.1,98,19.2,15.73,3.61,3,64,1.65,2.56,40,6.8,5.96,9.84,11.89
23N00477,1361-46580,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,2,26,101,20.4,17.1,4.95,4,67,1.59,3.83,80,7,6.54,9.02,11.21
23N00478,1361-46581,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,2,25.2,103,19.9,14.78,6.09,6,60,2.76,2.33,90,6.66,6.26,7.57,11
23N00479,1361-46582,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,24.8,99,19.3,15.23,3.77,3,56,2.82,3.02,100,NA,NA,NA,NA
23N00480,1361-46583,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,23.2,98,20.4,15.75,3.97,3,54,2.35,1.94,90,NA,NA,NA,NA
23N00481,1361-46584,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,3,24.8,103,20.3,17.08,6.75,6,69,2.87,1.99,50,6.5,6.72,8.99,11.24
23N00482,1361-46585,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,3,25,105,20.9,16.19,3.33,6,67,1.45,2.7,40,6.82,5.81,8.8,11.83
23N00483,1361-46586,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,2,25.6,102,19.5,15.74,3.59,4,60,1.71,2.84,40,6.95,5.78,9.25,11.39
23N00484,1361-46587,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,3,26.7,108,21.2,15.56,3.92,3,72,1.49,3.11,50,6.81,6.33,9.08,10.89
23N00485,1361-46588,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,24.4,102,20.8,17.71,2.97,3,67,1.8,2.34,95,NA,NA,NA,NA
23N00486,1361-46589,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,M,2,23.2,100,19.2,15.8,4.56,4,63,1.64,2.49,70,6.51,5.42,8.84,11.98
NA,1361-46590,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,N,N,N,M,3,NA,105,20.2,16.99,6.33,6,64,2.79,2.38,90,7.79,5.4,8.98,11.41
