"","BGP_ID","band_number","site_code","sex","age","wing_chord","tarsus","tail_length","nare_length","bristle_length","beak_depth","beak_width","culmen_end_length","pen_length","pen_num","plum_length","plum_number","nodes"
"133","23N00494","1361-46597","PIPA","F",2,96,19.8,59,2.59,2.15,6.69,6.61,11.76,0.318666666666667,20,0.838,28.6666666666667,6.66666666666667
"134","23N00495","1361-46598","PIPA","M",2,99,20,67,2.19,2.27,6.58,6.54,11.7,0.413333333333333,20.6666666666667,0.868333333333333,28.3333333333333,7
"135","19N00121","1361-46501","WMTN","F",3,97,19.9,59,2.05,2.02,6.67,6.15,11.45,0.351666666666667,20,0.769,25.6666666666667,7.66666666666667
"136","19N00122","1361-46502","WMTN","F",2,98,19.6,57,2.25,2.02,6.9,6.3,11.6,0.375,25.3333333333333,0.909,30,7.66666666666667
"137","19N00123","1361-46503","WMTN","M",2,101,19.5,60,1.91,2.11,6.9,5.9,11.2,0.277333333333333,20.3333333333333,0.673333333333333,20.3333333333333,7
"138","19N00124","1361-46504","WMTN","F",2,98,19.7,57,2.2,2.21,6.8,6.4,11.8,0.392,21,0.769,31.3333333333333,7.33333333333333
"139","19N00125","1361-46505","WMTN","F",2,96,19.7,56,2.11,1.79,6.7,6.2,11.8,0.239333333333333,19.6666666666667,0.639333333333333,26,7.66666666666667
"140","19N00126","1361-46506","WMTN","F",2,92,19.2,57,1.89,1.77,7.4,5.7,11.1,0.288,19.3333333333333,0.751,26.6666666666667,7.33333333333333
"141","19N00127","1361-46507","WMTN","M",3,102,20.1,62,1.67,1.61,6.84,6.5,12,0.382666666666667,20,0.726666666666667,31,7.66666666666667
"142","19N00128","1361-46508","WMTN","M",3,102,20.3,61,2.08,2.02,7.1,6.3,11.5,0.353333333333333,20.6666666666667,0.637,30,7.66666666666667
"143","19N00129","1361-46509","WMTN","M",2,101,19.5,59,2.07,1.99,6.7,5.9,11.4,0.328666666666667,18.6666666666667,0.756333333333333,27.3333333333333,7.33333333333333
"144","19N00130","1361-46510","WMTN","M",3,103,20.6,62,1.7,2.01,6.7,6.3,11.5,0.291,19,0.604666666666667,33.6666666666667,7.66666666666667
"145","19N00131","1361-46511","WMTN","F",2,98,19.6,57,1.64,2.19,6.6,5.8,11,0.314,18.6666666666667,0.766333333333333,25.6666666666667,8
"146","19N00132","1361-46512","WMTN","M",3,102,19.9,62,1.84,2.56,6.9,6.6,11.1,0.362,19,0.745666666666667,26,8
"147","19N00133","1361-46513","WMTN","F",2,93,19.9,54,2.09,2.95,7,6.3,12,0.309,16,0.779333333333333,27,7.33333333333333
"148","19N00134","1361-46514","WMTN","F",2,94,20.2,55,2.23,2.83,7,6.6,12.2,0.293666666666667,20,0.788666666666667,26.3333333333333,7.33333333333333
"149","19N00135","1361-46515","WMTN","F",2,96,19.6,56,2.09,2.44,6.96,6.72,11.16,0.383333333333333,21.6666666666667,0.905,27,7
"150","19N00136","1361-46516","WMTN","F",2,94,20.3,57,2.56,2.66,7.25,6.37,12.88,0.334333333333333,21,0.781666666666667,29,7.66666666666667
"151","19N00137","1361-46517","WMTN","F",2,93,19.8,57,2.32,2.86,7,6.44,11,0.386666666666667,17.6666666666667,0.778,29,8
"152","19N00138","1361-46518","WMTN","F",2,98,20,58,2.29,2.93,7.1,6.62,11.58,0.358666666666667,18.3333333333333,0.841,26.3333333333333,7.33333333333333
"153","19N00139","1361-46519","WMTN","M",3,106,19.9,61,1.83,2.68,6.57,6,11.99,0.356,25,0.825666666666667,29.3333333333333,6.33333333333333
"154","19N00140","1361-46520","VILA","F",2,94,19.2,56,1.53,3.04,6.53,6.03,12.18,0.356333333333333,19.6666666666667,0.983,27,7.33333333333333
"155","19N00141","1361-46521","VILA","M",3,105,20.4,61,1.6,3.1,6.9,5.96,12.01,0.444666666666667,21,0.932,27.3333333333333,6.66666666666667
"156","19N00142","1361-46522","VILA","F",2,95,19.2,63,1.64,0.89,6.84,6.16,12.37,0.319333333333333,20.6666666666667,0.929333333333333,28.6666666666667,7
"157","19N00143","1361-46523","VILA","F",2,94,19.7,56,1.94,2.79,6.79,6.41,12,0.406333333333333,22.6666666666667,0.731666666666667,28,7.33333333333333
"158",NA,"2791-93510","WMTN","M",2,101,19,NA,NA,NA,6.8,5.7,11.5,NA,NA,NA,NA,NA
"159",NA,"2791-93511","WMTN","F",2,96,19.1,NA,NA,NA,6.6,5.5,11.5,NA,NA,NA,NA,NA
"160",NA,"2791-93512","WMTN","M",3,106,20.2,NA,NA,NA,6.6,5.4,11.2,NA,NA,NA,NA,NA
"161",NA,"2791-93495","PIPA","F",2,97,19.3,NA,NA,NA,6.5,5.7,11.1,NA,NA,NA,NA,NA
"162",NA,"2791-93496","PIPA","M",2,105,20.2,NA,NA,NA,6.9,5.9,11.5,NA,NA,NA,NA,NA
"163",NA,"2791-93497","PIPA","M",3,105,19.9,NA,NA,NA,5.8,5.1,11.3,NA,NA,NA,NA,NA
"164",NA,"2791-93498","PIPA","M",2,105,19.6,NA,NA,NA,7.1,6,11.8,NA,NA,NA,NA,NA
"165",NA,"2791-93499","PIPA","M",3,104,19.9,NA,NA,NA,6.9,5.8,12,NA,NA,NA,NA,NA
"166",NA,"2791-93500","PIPA","M",3,107,20,NA,NA,NA,6.4,5.8,11.4,NA,NA,NA,NA,NA
"167",NA,"2791-93501","PIPA","M",2,100,19.8,NA,NA,NA,5.9,5.2,11,NA,NA,NA,NA,NA
"168",NA,"2791-93502","PIPA","M",2,105,20.3,NA,NA,NA,7,5.7,11.9,NA,NA,NA,NA,NA
"169",NA,"2791-93503","PIPA","M",2,100,19.6,NA,NA,NA,6.8,5.8,11.2,NA,NA,NA,NA,NA
"170",NA,"2791-93504","PIPA","F",3,97,19.7,NA,NA,NA,6.8,5.5,11.2,NA,NA,NA,NA,NA
"171",NA,"2791-93505","PIPA","F",2,97,19.8,NA,NA,NA,6.1,5.3,10.9,NA,NA,NA,NA,NA
"172",NA,"2791-93506","PIPA","M",2,100,20.3,NA,NA,NA,6.1,4.9,10.7,NA,NA,NA,NA,NA
"173",NA,"2791-93507","PIPA","F",2,99,19.3,NA,NA,NA,6.3,5.6,10.8,NA,NA,NA,NA,NA
"174",NA,"2791-93508","PIPA","M",3,107,20,NA,NA,NA,6.5,6,11.3,NA,NA,NA,NA,NA
